date,day_of_week,month,week_of_year,is_weekend,month_period,weather_type,holiday,total_orders,total_units_sold,total_customer_groups,avg_group_size,school_children_groups,youngers_groups,younger_adults_groups,elders_groups,morning_groups,afternoon_groups,evening_groups,hot_beverage_units,cold_beverage_units,bakery_units,short_eats_units,food_meal_units,traditional_food_units,dairy_units,other_units
2026-04-04,Saturday,4,14,Yes,start,Hot,No,179,669.5,242,1.35,14,85,94,49,39,118,85,147.5,18,30.0,192,31,188,8,55
2026-04-05,Sunday,4,14,Yes,start,Hot,No,168,629.0,228,1.36,17,83,82,46,36,112,80,113.0,41,21.0,240,22,96,17,79
2026-04-06,Monday,4,15,No,start,Hot,No,150,561.5,203,1.35,12,74,76,41,79,63,61,103.0,35,19.5,192,11,141,7,53
2026-04-07,Tuesday,4,15,No,start,Cloudy,No,195,732.0,266,1.36,20,97,95,54,72,114,80,151.5,64,19.5,277,22,140,5,53
2026-04-08,Wednesday,4,15,No,start,Rainy,No,132,496.0,179,1.36,13,62,68,36,40,82,57,115.0,31,32.0,140,23,102,7,46
2026-04-09,Thursday,4,15,No,start,Cloudy,No,148,554.5,200,1.35,12,73,76,39,54,86,60,90.0,42,29.5,148,24,156,13,52
2026-04-10,Friday,4,15,No,start,Rainy,No,189,710.0,258,1.37,20,90,99,49,57,119,82,169.0,65,26.0,185,18,134,10,103
2026-04-11,Saturday,4,15,Yes,middle,Hot,No,179,672.0,242,1.35,14,86,94,48,39,118,85,138.0,17,30.0,198,31,178,8,72
2026-04-12,Sunday,4,15,Yes,middle,Hot,No,154,577.5,209,1.36,15,77,76,41,34,102,73,123.5,50,24.0,235,16,67,2,60
2026-04-13,Monday,4,16,No,middle,Hot,Yes,151,566.5,204,1.35,12,74,77,41,80,63,61,102.0,35,19.5,192,12,141,6,59
2026-04-14,Tuesday,4,16,No,middle,Cloudy,Yes,204,766.0,278,1.36,19,102,102,55,75,120,83,146.0,71,22.0,263,23,147,7,87
2026-04-15,Wednesday,4,16,No,middle,Rainy,No,193,723.0,260,1.35,13,90,105,52,57,120,83,179.5,41,22.5,175,19,157,7,122
2026-04-16,Thursday,4,16,No,middle,Cloudy,No,218,818.5,296,1.36,18,107,112,59,80,127,89,152.0,48,35.5,252,29,211,15,76
2026-04-17,Friday,4,16,No,middle,Rainy,No,60,223.5,81,1.35,5,29,34,13,18,37,26,35.0,11,2.5,53,13,78,7,24
2026-04-18,Saturday,4,16,Yes,middle,Hot,No,228,855.5,309,1.36,20,110,118,61,50,151,108,171.5,44,31.0,291,22,143,14,139
2026-04-19,Sunday,4,16,Yes,middle,Hot,No,233,874.0,318,1.36,24,116,111,67,51,156,111,130.0,57,80.0,328,23,125,26,105
2026-04-20,Monday,4,17,No,middle,Hot,No,169,634.5,228,1.35,14,82,85,47,89,71,68,133.5,42,23.0,196,18,161,2,59
2026-04-21,Tuesday,4,17,No,end,Cloudy,No,162,607.5,219,1.35,14,79,84,42,59,94,66,120.5,31,30.0,182,30,150,15,49
2026-04-22,Wednesday,4,17,No,end,Rainy,No,164,615.0,224,1.37,16,83,79,46,49,103,72,126.5,37,30.5,240,26,101,9,45
2026-04-23,Thursday,4,17,No,end,Cloudy,No,179,672.0,242,1.35,16,91,89,46,65,104,73,112.0,48,24.0,221,25,166,7,69
2026-04-24,Friday,4,17,No,end,Rainy,No,138,519.0,187,1.36,12,65,71,39,41,86,60,111.0,22,22.0,177,62,60,12,53
2026-04-25,Saturday,4,17,Yes,end,Hot,No,185,692.5,251,1.36,18,90,93,50,40,123,88,132.0,49,35.5,232,23,153,12,56
2026-04-26,Sunday,4,17,Yes,end,Hot,No,156,586.0,212,1.36,15,77,78,42,34,104,74,103.0,41,22.0,212,23,92,17,76
2026-04-27,Monday,4,18,No,end,Hot,No,204,766.0,277,1.36,19,101,103,54,108,86,83,142.5,40,19.5,229,22,214,44,55
2026-04-28,Tuesday,4,18,No,end,Cloudy,No,193,723.5,262,1.36,16,94,100,52,71,113,78,134.0,35,40.5,238,34,186,5,51
2026-04-29,Wednesday,4,18,No,end,Rainy,No,179,673.0,243,1.36,17,91,86,49,53,112,78,146.5,51,32.5,252,29,102,7,53
2026-04-30,Thursday,4,18,No,end,Cloudy,No,213,797.5,289,1.36,18,104,111,56,78,124,87,172.0,50,26.5,247,20,157,11,114
